model,spec_z,pred_z,dz,dz_norm,abs_dz_norm
median_redshift_baseline,0.07650389,0.1209818,0.044477909999999996,0.04131699886379417,0.04131699886379417
median_redshift_baseline,0.1977711,0.1209818,-0.0767893,-0.06411016261788251,0.06411016261788251
median_redshift_baseline,0.1678962,0.1209818,-0.046914399999999995,-0.04017000825929565,0.04017000825929565
median_redshift_baseline,0.1618865,0.1209818,-0.04090469999999999,-0.03520541808515719,0.03520541808515719
median_redshift_baseline,0.2536456,0.1209818,-0.13266380000000003,-0.10582241105460748,0.10582241105460748
median_redshift_baseline,0.04694287,0.1209818,0.07403893,0.07071916923222372,0.07071916923222372
median_redshift_baseline,0.0986435,0.1209818,0.022338300000000005,0.0203326192709464,0.0203326192709464
median_redshift_baseline,0.1221699,0.1209818,-0.0011880999999999975,-0.001058752333314231,0.001058752333314231
median_redshift_baseline,0.1182877,0.1209818,0.002694100000000005,0.0024091296005491294,0.0024091296005491294
median_redshift_baseline,0.08588146,0.1209818,0.035100339999999994,0.03232428335225467,0.03232428335225467
median_redshift_baseline,0.09809449,0.1209818,0.022887309999999994,0.020842750973097037,0.020842750973097037
median_redshift_baseline,0.07775691,0.1209818,0.04322489,0.04010634457449223,0.04010634457449223
median_redshift_baseline,0.04407013,0.1209818,0.07691167,0.07366523357966386,0.07366523357966386
median_redshift_baseline,0.1167137,0.1209818,0.004268099999999997,0.0038220181233560553,0.0038220181233560553
median_redshift_baseline,0.2632055,0.1209818,-0.14222369999999998,-0.11258951928249203,0.11258951928249203
median_redshift_baseline,0.08796193,0.1209818,0.03301987000000001,0.03035020719888609,0.03035020719888609
median_redshift_baseline,0.1188294,0.1209818,0.0021523999999999988,0.0019237964250850028,0.0019237964250850028
median_redshift_baseline,0.09924957,0.1209818,0.021732230000000005,0.019770060041961177,0.019770060041961177
median_redshift_baseline,0.2273268,0.1209818,-0.106345,-0.08664766384959573,0.08664766384959573
median_redshift_baseline,0.1346321,0.1209818,-0.013650300000000004,-0.012030595644174006,0.012030595644174006
median_redshift_baseline,0.2263892,0.1209818,-0.10540740000000001,-0.08594938702982707,0.08594938702982707
median_redshift_baseline,0.268442,0.1209818,-0.1474602,-0.11625300959760083,0.11625300959760083
median_redshift_baseline,0.136369,0.1209818,-0.01538719999999999,-0.013540672088027736,0.013540672088027736
median_redshift_baseline,0.05614211,0.1209818,0.06483969,0.06139295970312178,0.06139295970312178
median_redshift_baseline,0.1624226,0.1209818,-0.0414408,-0.035650373624876185,0.035650373624876185
median_redshift_baseline,0.297423,0.1209818,-0.1764412,-0.13599358112196253,0.13599358112196253
median_redshift_baseline,0.2573719,0.1209818,-0.1363901,-0.10847236207521418,0.10847236207521418
median_redshift_baseline,0.2129274,0.1209818,-0.09194559999999999,-0.07580470191373366,0.07580470191373366
median_redshift_baseline,0.3074401,0.1209818,-0.1864583,-0.14261326388872422,0.14261326388872422
median_redshift_baseline,0.08709157,0.1209818,0.03389023000000001,0.031175138263651526,0.031175138263651526
median_redshift_baseline,0.1054663,0.1209818,0.015515500000000002,0.014035253720534041,0.014035253720534041
median_redshift_baseline,0.2665251,0.1209818,-0.14554330000000001,-0.11491544857658172,0.11491544857658172
median_redshift_baseline,0.07474412,0.1209818,0.04623768,0.043022035793971125,0.043022035793971125
median_redshift_baseline,0.1706743,0.1209818,-0.0496925,-0.04244775852685927,0.04244775852685927
median_redshift_baseline,0.09989751,0.1209818,0.021084290000000006,0.01916932242168637,0.01916932242168637
median_redshift_baseline,0.09320346,0.1209818,0.02777834,0.025410036664172284,0.025410036664172284
median_redshift_baseline,0.10594,0.1209818,0.015041799999999994,0.013600918675515846,0.013600918675515846
