objid,ra,dec,u,g,r,i,photometric_z,specObjID,redshift,redshift_error,class,spec_z,zmag,u_g,g_r,r_i,i_z,r_mag
1237655108913070115,176.845441321626,60.3004524246783,15.37182,13.95493,13.28057,12.95137,12.76736,7991809174337245184,0.01189104,6.844566e-06,GALAXY,0.01189104,12.76736,1.4168900000000004,0.6743599999999983,0.32920000000000016,0.18401000000000067,13.28057
1237669699440934939,322.413646779989,6.68172865720189,15.7396,14.75652,14.25749,14.05521,13.86621,4598359204251848704,0.01195041,1.18609e-05,GALAXY,0.01195041,13.86621,0.9830799999999993,0.4990299999999994,0.20228000000000002,0.18900000000000006,14.25749
1237667550885773419,174.167306568591,24.8413571191787,18.83383,17.78425,17.4026,17.27215,17.01588,2820489832252336128,0.01196302,7.375533e-06,GALAXY,0.01196302,17.01588,1.0495799999999988,0.3816500000000005,0.13044999999999973,0.25627000000000066,17.4026
1237656568648500202,311.567704819825,0.0887532204141644,18.64227,17.47182,16.99289,16.7568,16.59289,1105748373979293696,0.01197873,4.729133e-06,GALAXY,0.01197873,16.59289,1.1704499999999989,0.47893000000000185,0.2360900000000008,0.16390999999999778,16.99289
1237668624091447367,197.551496170364,16.9356755537218,16.88677,15.76601,15.30871,15.09184,14.86502,2931928369920501760,0.01199396,9.270783e-06,GALAXY,0.01199396,14.86502,1.1207599999999989,0.45730000000000004,0.21687000000000012,0.22682000000000002,15.30871
1237667430646153564,178.621975532091,27.7364363798377,18.95133,17.88648,17.60766,17.47883,17.6195,2503026739395979264,0.01202196,7.592677e-06,GALAXY,0.01202196,17.6195,1.0648499999999999,0.2788199999999996,0.12883000000000067,-0.14067000000000007,17.60766
1237661150305911042,199.524227213833,48.4197604583937,21.75619,21.41559,21.21126,20.85364,21.09838,8368881197997379584,0.01203986,0.0003446895,GALAXY,0.01203986,21.09838,0.34059999999999846,0.20433000000000234,0.3576200000000007,-0.24474000000000018,21.21126
1237661070318305541,141.239192530709,11.5415211815568,16.93668,15.38486,14.70287,14.3578,14.1089,1959209925099939840,0.01209586,1.240395e-05,GALAXY,0.01209586,14.1089,1.5518199999999993,0.681989999999999,0.34507000000000154,0.248899999999999,14.70287
1237657873255432331,141.583624218971,40.0244408134541,17.04558,15.9399,15.46344,15.21475,15.06888,1057254691366266880,0.01210942,1.567752e-05,GALAXY,0.01210942,15.06888,1.1056800000000013,0.47645999999999944,0.24868999999999986,0.1458700000000004,15.46344
1237669519048310809,350.35694480483,8.21819033495597,22.67227,21.88695,21.83716,22.19404,22.08024,12716076967142903808,0.01215188,2.456994e-05,GALAXY,0.01215188,22.08024,0.7853200000000022,0.049789999999998,-0.3568800000000003,0.11380000000000123,21.83716
